Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.32,0.23,0.0,0.22,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.32,0.42,0.0,0.21,19.18,2,104,19,TextMLP,non-IID,AGNEWS,0.58,0.7609,0.3648,0.2391,2.77,0.25,0.1,1.0
Client 23,2,0.65,0.21,0.0,0.33,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.62,0.33,0.0,0.34,19.21,2,106,24,TextMLP,non-IID,AGNEWS,0.7,0.7159,0.2805,0.2989,3.1,0.2509,0.1018,0.999
Client 23,3,1.04,0.14,0.0,0.42,,2,127,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,1.06,0.14,0.0,0.4,,2,124,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,0.36,0.14,0.0,0.22,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,0.15,0.55,0.0,0.15,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,0.35,0.14,0.0,0.2,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,0.37,0.14,0.0,0.21,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,3,0.46,0.14,0.0,0.23,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,3,0.27,0.31,0.0,0.2,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,3,0.37,0.14,0.0,0.23,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,3,0.38,0.14,0.0,0.23,26.44,1,100,24,TextMLP,non-IID,AGNEWS,0.7,0.6505,0.6218,0.469,3.8,0.2986,0.1713,1.1091
Client 23,4,1.39,0.14,0.0,0.55,,2,135,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,1.54,0.14,0.0,0.55,,2,133,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,0.93,0.14,0.0,0.35,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,4,0.84,0.14,0.0,0.57,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,4,0.92,0.14,0.0,0.34,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,4,0.95,0.14,0.0,0.35,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,4,0.79,0.14,0.0,0.35,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,4,0.49,0.31,0.0,0.25,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,4,0.71,0.14,11.12,0.33,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,4,0.73,0.14,0.0,0.32,30.18,1,100,25,TextMLP,non-IID,AGNEWS,0.81,0.6039,0.5779,0.5843,4.14,0.3411,0.2394,1.1596
Client 23,5,1.79,0.14,10.8,0.64,,2,137,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,2.05,0.14,0.0,0.64,31.86,2,136,25,TextMLP,non-IID,AGNEWS,0.75,0.6698,0.6587,0.4184,4.63,0.4618,0.3752,0.9043
Client 23,6,2.07,0.14,11.68,0.79,,2,142,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,2.37,0.14,0.0,0.74,33.74,2,137,26,TextMLP,non-IID,AGNEWS,0.51,0.7744,0.7586,0.2909,5.87,0.5658,0.4894,0.7226
Client 23,7,2.65,0.14,12.63,0.88,,2,144,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,2.92,0.14,0.0,0.93,,2,138,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,7,1.76,0.14,0.0,0.6,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,7,1.1,0.14,0.0,0.45,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,7,1.36,0.14,0.0,0.47,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,7,1.23,0.14,0.0,0.46,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,7,1.14,0.14,0.0,0.46,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,7,1.18,0.14,0.0,0.47,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,7,1.11,0.14,14.68,0.44,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,7,1.13,0.14,0.0,0.45,34.44,1,100,25,TextMLP,non-IID,AGNEWS,0.41,0.835,0.831,0.2256,6.89,0.5854,0.4948,0.6139
Client 23,8,3.04,0.25,0.0,1.48,,2,120,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,2.61,0.19,0.0,1.21,23.89,2,118,26,TextMLP,non-IID,AGNEWS,0.33,0.8766,0.8254,0.1895,6.94,0.6063,0.5256,0.6734
Client 23,9,3.19,0.14,16.23,1.07,,2,145,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,4.39,0.14,11.0,1.22,39.48,2,142,25,TextMLP,non-IID,AGNEWS,0.38,0.8345,0.831,0.2171,7.28,0.6478,0.5649,0.503
Client 23,10,3.55,0.14,18.01,1.16,,2,151,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,5.73,0.14,11.58,1.47,,2,145,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,10,1.56,0.14,17.24,0.59,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,10,1.82,0.14,0.0,0.61,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,10,1.6,0.14,17.09,0.61,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,10,1.68,0.14,10.35,0.61,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,10,1.76,0.14,10.39,0.62,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,10,1.57,0.14,13.1,0.62,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,10,1.44,0.14,19.6,0.55,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,10,1.93,0.14,0.0,0.61,39.85,1,100,26,TextMLP,non-IID,AGNEWS,0.36,0.8321,0.8286,0.216,7.45,0.6401,0.5544,0.5448
Client 23,11,3.74,0.25,0.0,1.52,,2,124,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,3.6,0.19,0.0,1.49,22.79,2,124,25,TextMLP,non-IID,AGNEWS,0.28,0.8946,0.8535,0.162,7.35,0.6269,0.5423,0.6466
Client 23,12,4.56,0.14,17.37,1.5,,2,151,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,5.12,0.14,12.35,1.47,,2,146,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,12,2.13,0.14,17.88,0.75,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,12,1.86,0.14,25.16,0.69,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,12,2.0,0.14,18.95,0.8,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,12,2.28,0.14,12.03,0.74,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,12,2.45,0.14,14.09,0.75,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,12,2.28,0.14,19.08,0.76,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,12,1.8,0.14,23.61,0.66,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,12,2.87,0.14,0.0,0.76,45.64,1,100,25,TextMLP,non-IID,AGNEWS,0.36,0.8414,0.8369,0.2048,7.36,0.6492,0.5632,0.5238
Client 23,13,4.5,0.14,18.82,1.6,,2,151,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,13,5.08,0.14,14.02,1.49,45.49,2,145,27,TextMLP,non-IID,AGNEWS,0.35,0.867,0.8656,0.1786,7.13,0.6636,0.5746,0.499
Client 23,14,5.06,0.14,17.43,1.73,,2,148,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,14,5.74,0.14,18.44,1.88,,2,149,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,14,2.6,0.14,18.66,0.88,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,14,2.27,0.14,28.73,0.86,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,14,2.33,0.14,20.26,0.8,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,14,2.73,0.14,12.57,0.84,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,14,3.1,0.14,15.4,0.88,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,14,2.55,0.14,17.95,0.84,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,14,2.29,0.14,27.01,0.79,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,14,3.5,0.14,0.0,0.87,50.72,1,100,25,TextMLP,non-IID,AGNEWS,0.35,0.8427,0.8381,0.2009,7.15,0.6555,0.5699,0.5016
Client 23,15,5.44,0.14,23.67,1.81,,2,156,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,15,6.1,0.14,18.74,1.91,49.65,2,152,26,TextMLP,non-IID,AGNEWS,0.38,0.8231,0.8205,0.2176,6.81,0.663,0.574,0.5125
Client 23,16,5.46,0.25,0.0,2.35,,2,130,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,16,5.52,0.22,0.0,2.28,,2,129,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,16,2.51,0.2,0.0,1.13,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,16,2.56,0.38,0.0,1.17,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,16,2.51,0.24,0.0,1.11,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,16,2.31,0.18,0.0,1.17,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,16,2.65,0.14,0.0,1.16,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,16,2.64,0.14,12.57,0.85,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,16,2.59,0.34,0.0,1.19,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,16,2.63,0.14,0.0,1.14,33.86,1,100,25,TextMLP,non-IID,AGNEWS,0.24,0.9066,0.8552,0.1422,6.99,0.6292,0.5454,0.6071
Client 23,17,6.7,0.14,27.98,2.16,,2,160,29,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,17,6.45,0.14,22.64,2.12,,2,153,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,17,3.07,0.14,25.82,1.08,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,17,2.94,0.14,33.61,1.05,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,17,3.65,0.14,21.13,1.15,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,17,3.3,0.14,0.0,1.13,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,17,3.13,0.14,0.0,1.08,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,17,2.81,0.22,0.0,1.29,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
