Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.13,0.19,0.0,4.53,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.14,0.24,0.0,4.68,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,1.14,0.32,0.0,4.65,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,1.11,0.26,0.0,4.48,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,1.14,0.34,0.0,4.7,24.67,2,108,21,CNN 16k,IID,CIFAR-10,1.61,0.385,0.0652,2.3984,3.14,0.1013,0.0205,3.5435
Client 1,2,2.32,0.13,0.0,5.6,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.36,0.13,0.0,6.1,,2,109,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,2.27,0.14,0.0,5.51,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,2.21,0.27,0.0,5.71,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,2.48,0.26,0.0,5.94,,2,109,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,2,1.16,0.24,0.0,4.79,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,2,1.21,0.39,0.0,4.96,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,2,1.2,0.23,0.0,4.8,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,2,1.17,0.5,0.0,4.75,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,2,1.23,0.36,0.0,4.73,29.71,1,100,20,CNN 16k,IID,CIFAR-10,1.55,0.4437,0.1122,1.9785,3.24,0.1396,0.0574,3.0499
Client 1,3,3.35,0.1,0.0,6.8,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.45,0.09,0.0,6.67,,2,111,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,3.27,0.18,0.0,7.31,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,3.31,0.16,0.0,6.55,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,3.46,0.17,0.0,7.12,33.71,2,110,19,CNN 16k,IID,CIFAR-10,1.65,0.4147,0.1816,2.1272,2.56,0.203,0.131,2.9094
Client 1,4,4.69,0.07,0.0,7.87,,2,112,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.55,0.06,0.0,7.4,,2,113,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,5.27,0.12,0.0,7.41,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,4.49,0.14,0.0,8.2,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,4.8,0.14,0.0,8.36,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,2.88,0.2,0.0,5.86,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,2.36,0.26,0.0,5.99,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,2.34,0.08,0.0,5.92,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,4,2.38,0.32,0.0,5.97,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,4,2.3,0.2,0.0,5.58,39.39,1,100,20,CNN 16k,IID,CIFAR-10,1.55,0.4452,0.2218,2.0106,2.42,0.2357,0.1687,2.828
