Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.47,0.32,0.0,5.83,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.45,0.34,0.0,5.72,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.55,0.31,0.0,5.99,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.5,0.23,0.0,5.67,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.51,0.3,0.0,5.87,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.59,0.3,0.0,5.76,75.94,1,100,21,CNN 64k,non-IID,CIFAR10,1.37,0.5485,0.1178,1.5641,3.35,0.1195,0.0328,3.1637
Client 23,2,1.92,0.09,0.0,5.39,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.69,0.09,0.0,5.48,,2,111,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.4,0.11,11.12,5.72,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.19,0.16,0.0,5.69,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.48,0.1,11.11,5.68,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.42,0.23,11.71,5.74,86.91,1,100,20,CNN 64k,non-IID,CIFAR10,1.31,0.4983,0.2409,1.8276,3.55,0.1926,0.1054,3.0438
Client 23,3,4.31,0.36,0.0,8.56,,2,106,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,4.32,0.16,0.0,8.58,,2,106,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.67,0.13,14.52,6.73,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.44,0.12,12.95,6.34,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,4.83,0.16,0.0,8.52,,1,100,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,3.84,0.11,14.48,6.77,93.95,1,100,22,CNN 64k,non-IID,CIFAR10,1.18,0.5623,0.3015,1.8663,2.62,0.2631,0.1913,2.7941
Client 23,4,3.16,0.08,10.55,5.74,,2,113,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,3.0,0.07,10.31,5.63,,2,113,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.27,0.08,13.24,6.4,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,4.45,0.09,14.55,6.88,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,4.35,0.09,14.36,6.81,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,4.62,0.08,15.89,6.7,94.89,1,100,22,CNN 64k,non-IID,CIFAR10,1.3,0.5028,0.3721,1.8697,2.56,0.3119,0.2437,2.5309
Client 23,5,7.12,0.13,0.0,10.25,,2,107,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,7.15,0.14,0.0,10.52,,2,107,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,7.98,0.1,0.0,11.9,,1,100,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,8.45,0.15,0.0,11.32,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,8.39,0.23,0.0,11.03,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,8.41,0.25,0.0,11.23,97.3,1,100,26,CNN 64k,non-IID,CIFAR10,1.17,0.5786,0.383,1.5877,2.27,0.346,0.2761,2.4237
