Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.28,0.38,0.0,0.19,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.28,0.3,0.0,0.2,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,0.3,0.4,0.0,0.19,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,0.27,0.42,0.0,0.19,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,0.26,0.31,0.0,0.19,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,0.27,0.2,0.0,0.19,19.23,1,100,19,TextMLP,non-IID,AGNEWS,0.56,0.7624,0.3579,0.3512,2.95,0.25,0.1,1.3333
Client 1,2,0.64,0.21,0.0,0.33,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.64,0.17,0.0,0.36,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,0.63,0.22,0.0,0.33,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,0.6,0.25,0.0,0.34,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,0.61,0.27,0.0,0.34,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,0.6,0.34,0.0,0.34,19.9,1,100,24,TextMLP,non-IID,AGNEWS,0.77,0.6504,0.2852,0.5646,3.05,0.2614,0.1185,1.2302
Client 1,3,1.09,0.21,0.0,0.48,,2,109,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,1.01,0.32,0.0,0.49,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,0.94,0.19,0.0,0.46,,2,107,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,1.11,0.27,0.0,0.51,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,1.23,0.21,0.0,0.57,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,1.1,0.29,0.0,0.51,22.45,1,100,24,TextMLP,non-IID,AGNEWS,0.67,0.7382,0.3862,0.4194,3.8,0.3124,0.1778,1.1564
Client 1,4,1.27,0.3,0.0,0.59,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,1.22,0.24,0.0,0.55,,2,111,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,4,1.28,0.19,0.0,0.59,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,4,1.17,0.27,0.0,0.57,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,4,1.33,0.21,0.0,0.59,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,4,1.23,0.29,0.0,0.56,20.57,1,100,24,TextMLP,non-IID,AGNEWS,0.51,0.8111,0.5151,0.2863,4.46,0.3893,0.2603,0.9432
Client 1,5,2.18,0.29,0.0,0.84,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,2.12,0.21,0.0,0.88,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,5,1.66,0.29,0.0,0.75,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,5,2.2,0.27,0.0,0.92,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,5,1.62,0.22,0.0,0.74,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,5,2.2,0.21,0.0,0.91,22.68,1,100,25,TextMLP,non-IID,AGNEWS,0.44,0.8308,0.572,0.2544,5.28,0.429,0.3032,0.8471
Client 1,6,1.94,0.25,0.0,0.83,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,1.88,0.21,0.0,0.81,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,6,1.87,0.29,0.0,0.79,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,6,2.09,0.22,0.0,0.83,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,6,1.97,0.22,0.0,0.83,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,6,1.85,0.19,0.0,0.84,22.89,1,100,25,TextMLP,non-IID,AGNEWS,0.44,0.8288,0.5996,0.2475,5.78,0.4559,0.3323,0.7771
