Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.55,0.09,0.0,25.03,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,25.39,0.14,0.0,24.01,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,26.27,0.07,0.0,23.03,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,25.55,0.14,0.0,25.07,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,25.41,0.2,0.0,25.34,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,26.36,0.1,0.0,24.58,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,25.56,0.15,0.0,23.64,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,29.45,0.17,0.0,25.09,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,25.94,0.11,0.0,23.47,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,26.17,0.11,0.0,25.79,140.07,1,100,21,CNN 16k,non-IID,CIFAR-10,1.34,0.5189,0.3479,1.7506,2.79,0.326,0.2547,2.5342
Client 1,2,8.3,0.05,45.49,7.85,,2,159,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,8.63,0.05,69.2,7.83,,2,165,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,11.05,0.05,42.18,9.49,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,9.88,0.05,178.92,9.11,,1,100,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,10.65,0.05,60.74,9.17,,1,100,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,27.17,0.1,0.0,26.06,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,10.52,0.05,97.14,9.35,,1,100,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,9.05,0.05,154.02,8.24,,1,100,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,10.11,0.05,226.88,9.33,,1,100,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,11.3,0.05,240.75,8.59,260.96,1,100,40,CNN 16k,non-IID,CIFAR-10,1.38,0.4571,0.4221,2.0197,2.43,0.3959,0.3463,2.2459
