Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.76,0.2,0.0,25.33,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.04,0.18,0.0,25.59,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,29.75,0.2,0.0,28.81,143.52,2,116,21,CNN 64k,non-IID,CIFAR10,1.03,0.6487,0.3605,1.4387,2.8,0.3189,0.2337,2.6184
Client 23,2,27.65,0.2,0.0,25.98,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,27.75,0.18,0.0,26.68,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,28.9,0.2,0.0,26.83,90.22,2,127,21,CNN 64k,non-IID,CIFAR10,0.86,0.7118,0.4581,1.1306,2.5,0.3852,0.3152,2.3356
Client 23,3,27.06,0.2,0.0,26.13,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,28.2,0.18,0.0,26.73,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,28.8,0.2,0.0,27.3,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,28.67,0.12,0.0,26.36,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,28.65,0.08,0.0,27.47,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,30.73,0.13,0.0,28.81,93.42,1,100,21,CNN 64k,non-IID,CIFAR10,0.88,0.6897,0.5333,1.1104,2.26,0.4429,0.3888,2.0109
Client 23,4,11.56,0.05,44.22,9.23,,2,152,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,10.09,0.05,37.94,8.32,,2,152,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,10.51,0.05,43.67,9.03,65.68,2,151,45,CNN 64k,non-IID,CIFAR10,1.23,0.4964,0.4762,1.7745,2.56,0.4618,0.4091,1.8547
Client 23,5,11.46,0.05,0.0,9.04,,2,183,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,10.7,0.05,0.0,8.65,,2,182,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,11.49,0.05,0.0,9.28,,2,182,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,15.93,0.05,0.0,12.48,,1,100,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,15.05,0.05,0.0,11.15,,1,100,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,15.8,0.05,0.0,11.32,29.04,1,100,39,CNN 64k,non-IID,CIFAR10,1.04,0.5762,0.5552,1.5619,2.2,0.4973,0.4625,1.7644
Client 23,6,10.52,0.05,0.0,8.6,,2,182,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,10.78,0.05,0.0,8.62,,2,183,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,10.73,0.05,0.0,8.63,,2,182,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,14.74,0.05,0.0,11.16,,1,100,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,14.44,0.05,0.0,10.57,,1,100,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,14.61,0.05,0.0,11.14,26.57,1,100,39,CNN 64k,non-IID,CIFAR10,0.99,0.5931,0.5711,1.4144,2.15,0.5121,0.4749,1.7147
Client 23,7,11.19,0.05,0.0,9.65,,2,176,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,11.47,0.05,0.0,9.92,,2,177,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,11.52,0.05,0.0,10.28,23.72,2,177,45,CNN 64k,non-IID,CIFAR10,1.08,0.552,0.5392,1.5914,2.31,0.5034,0.4593,1.7386
Client 23,8,10.74,0.05,0.0,8.5,,2,184,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,12.38,0.05,0.0,9.83,,2,184,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,11.85,0.05,0.0,10.13,,2,181,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,16.22,0.05,0.0,12.67,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,8,14.73,0.05,0.0,11.39,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,8,14.72,0.05,0.0,11.09,29.23,1,100,45,CNN 64k,non-IID,CIFAR10,0.92,0.623,0.6107,1.4041,2.2,0.5264,0.4922,1.6679
Client 23,9,11.07,0.05,0.0,8.95,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,11.77,0.05,0.0,9.63,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,9,11.66,0.05,0.0,9.92,,2,182,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,9,14.89,0.05,0.0,12.42,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,9,14.73,0.05,0.0,11.48,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,9,15.3,0.05,0.0,11.81,27.7,1,100,45,CNN 64k,non-IID,CIFAR10,0.9,0.6317,0.627,1.3814,2.15,0.526,0.4918,1.652
Client 23,10,11.23,0.05,0.0,9.64,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,11.19,0.05,0.0,9.37,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,10,11.45,0.05,0.0,9.68,21.52,2,182,45,CNN 64k,non-IID,CIFAR10,0.99,0.5848,0.5841,1.385,2.29,0.5221,0.4881,1.6492
Client 23,11,11.87,0.05,0.0,10.35,,2,177,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,11,12.04,0.05,0.0,9.41,,2,178,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,11,11.77,0.05,0.0,9.49,,2,177,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,11,16.39,0.05,0.0,11.9,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,11,15.49,0.05,0.0,10.2,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,11,15.11,0.05,0.0,10.19,30.16,1,100,45,CNN 64k,non-IID,CIFAR10,0.85,0.646,0.6415,1.2345,2.24,0.5348,0.5015,1.6034
Client 23,12,10.32,0.05,0.0,8.45,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,12,11.2,0.05,0.0,8.77,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,12,10.98,0.05,0.0,9.16,,2,182,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,12,14.72,0.05,0.0,11.07,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,12,14.11,0.05,0.0,10.68,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,12,14.26,0.05,0.0,11.24,26.19,1,100,45,CNN 64k,non-IID,CIFAR10,0.82,0.6591,0.6514,1.2384,2.12,0.5433,0.5124,1.5978
