Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,6.29,0.0,0.0,10.38,,2,102,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,6.03,0.0,0.0,3.35,,2,126,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,5.96,0.0,0.0,3.33,,2,126,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,6.15,0.0,0.0,12.29,,2,96,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,5.95,0.0,0.0,6.28,,2,114,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,5.92,0.0,0.0,10.32,,1,77,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,1,6.17,0.0,0.0,3.5,,1,97,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,1,7.26,0.0,0.0,9.95,,1,81,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,1,6.04,0.0,0.0,12.44,,1,73,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,1,6.04,0.0,0.0,5.39,38.21,1,90,19,TextMLP,IID,AGNEWS,0.61,0.7758,0.775,0.3459,0.63,0.7691,0.7682,0.3551
Client 23,2,6.03,0.0,0.0,9.33,,2,108,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,5.97,0.0,0.0,8.27,,2,114,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,6.03,0.0,0.0,9.27,,2,107,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,6.05,0.0,0.0,2.21,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,5.75,0.0,0.0,5.24,,2,141,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,5.93,0.0,0.0,8.33,,1,61,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,2,6.02,0.0,0.0,10.5,,1,55,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,2,6.23,0.0,0.0,3.45,,1,91,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,2,6.15,0.0,0.0,5.47,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,2,5.98,0.0,0.0,2.35,18.37,1,100,19,TextMLP,IID,AGNEWS,0.53,0.8086,0.8074,0.2995,0.55,0.8008,0.7995,0.3116
