Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.16,0.36,0.0,27.14,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.68,0.11,0.0,24.78,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,28.29,0.13,0.0,27.55,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,29.68,0.15,0.0,28.61,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,26.95,0.18,0.0,26.05,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,27.83,0.11,0.0,26.36,143.73,1,100,21,CNN 64k,non-IID,CIFAR10,1.08,0.6172,0.4048,1.4612,2.8,0.3688,0.2846,2.3376
Client 23,2,25.84,0.36,0.0,26.46,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,27.75,0.11,0.0,26.95,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,26.26,0.13,0.0,24.78,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,32.12,0.15,0.0,28.07,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,28.61,0.18,0.0,24.51,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,28.14,0.11,0.0,24.62,92.64,1,100,21,CNN 64k,non-IID,CIFAR10,0.98,0.6549,0.4401,1.2684,2.69,0.3922,0.3104,2.166
Client 23,3,26.61,0.36,0.0,26.69,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,26.4,0.11,0.0,26.73,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,25.96,0.13,0.0,25.07,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,32.43,0.15,0.0,30.16,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,27.14,0.18,0.0,24.85,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,28.74,0.11,0.0,26.85,95.94,1,100,21,CNN 64k,non-IID,CIFAR10,0.85,0.7038,0.5091,1.0949,2.53,0.426,0.3542,2.0834
Client 23,4,28.22,0.36,0.0,26.54,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,10.82,0.05,30.02,8.23,,2,151,39,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,27.56,0.13,0.0,26.72,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,30.15,0.15,0.0,29.64,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,27.2,0.18,0.0,25.17,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,27.15,0.11,0.0,25.34,95.18,1,100,21,CNN 64k,non-IID,CIFAR10,0.77,0.7254,0.5697,0.9483,2.34,0.4582,0.3962,1.9562
Client 23,5,26.58,0.36,0.0,26.46,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,10.48,0.05,0.0,8.9,,2,176,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,26.13,0.13,0.0,25.05,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,13.72,0.05,48.05,11.3,,1,100,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,26.27,0.18,0.0,24.26,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,26.84,0.11,0.0,25.44,87.08,1,100,21,CNN 64k,non-IID,CIFAR10,0.76,0.7168,0.5972,0.9261,2.27,0.4817,0.427,1.8758
Client 23,6,27.94,0.36,0.0,27.25,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,10.86,0.05,0.0,9.25,,2,181,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
