Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.29,0.0,0.0,26.06,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,1,26.4,0.0,0.0,25.26,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,1,28.58,0.0,0.0,27.11,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,1,27.45,0.0,0.0,25.97,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,1,29.09,0.0,0.0,26.47,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,1,27.79,0.0,0.0,26.14,74.32,1,100,21,CNN 64k,IID,CIFAR10,1.43,0.4802,0.4689,1.897,1.44,0.4772,0.4654,1.9162
Client 1,2,26.13,0.0,0.0,26.35,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,2,24.38,0.0,0.0,24.74,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,2,28.42,0.0,0.0,27.75,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,2,29.45,0.0,0.0,27.19,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,2,27.96,0.0,0.0,27.6,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,2,29.54,0.0,0.0,27.05,73.87,1,100,21,CNN 64k,IID,CIFAR10,1.26,0.5476,0.5399,1.6513,1.3,0.5357,0.5273,1.706
Client 1,3,27.54,0.0,0.0,25.8,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,3,26.58,0.0,0.0,27.06,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,3,28.47,0.0,0.0,26.41,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,3,27.86,0.0,0.0,26.07,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,3,27.31,0.0,0.0,25.46,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,3,29.14,0.0,0.0,26.56,71.89,1,100,21,CNN 64k,IID,CIFAR10,1.16,0.588,0.5819,1.5007,1.22,0.5693,0.5626,1.5801
Client 1,4,26.21,0.0,0.0,25.94,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,4,26.0,0.0,0.0,25.5,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,4,29.77,0.0,0.0,26.35,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,4,28.53,0.0,0.0,26.26,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,4,29.05,0.0,0.0,25.9,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,4,28.46,0.0,0.0,25.67,73.08,1,100,21,CNN 64k,IID,CIFAR10,1.09,0.6134,0.6104,1.3724,1.18,0.5808,0.5771,1.5016
Client 1,5,26.83,0.0,0.0,26.94,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,5,26.69,0.0,0.0,26.06,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,5,28.68,0.0,0.0,26.17,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,5,28.79,0.0,0.0,26.89,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,5,30.43,0.0,0.0,26.75,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,5,28.89,0.0,0.0,26.79,74.24,1,100,21,CNN 64k,IID,CIFAR10,1.02,0.64,0.6376,1.2621,1.14,0.5983,0.5956,1.4332
Client 1,6,26.14,0.0,0.0,25.98,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,6,26.14,0.0,0.0,24.81,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,6,28.5,0.0,0.0,26.16,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,6,28.35,0.0,0.0,26.01,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,6,28.19,0.0,0.0,29.01,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,6,28.01,0.0,0.0,26.52,72.41,1,100,21,CNN 64k,IID,CIFAR10,0.97,0.6607,0.6563,1.2082,1.12,0.6078,0.6026,1.4274
Client 1,7,27.59,0.0,0.0,26.09,,2,128,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,7,26.67,0.0,0.0,27.66,,2,127,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,7,27.87,0.0,0.0,27.3,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,7,29.25,0.0,0.0,25.9,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,7,27.89,0.0,0.0,26.71,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,7,29.73,0.0,0.0,26.4,72.04,1,100,21,CNN 64k,IID,CIFAR10,0.9,0.6851,0.6849,1.0928,1.08,0.6201,0.6194,1.3544
