Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.12,0.2,0.0,26.04,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,22.53,0.2,0.0,24.92,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,23.19,0.1,0.0,24.8,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,23.68,0.08,0.0,24.94,128.76,2,114,21,CNN 16k,non-IID,CIFAR10,1.27,0.5414,0.372,1.8268,2.85,0.3454,0.2677,2.4379
Client 23,2,8.55,0.05,39.83,7.72,,2,150,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,8.35,0.05,39.5,8.02,,2,149,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,9.29,0.05,25.52,8.08,,2,146,35,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,24.41,0.08,0.0,24.11,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,26.51,0.28,0.0,25.69,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,2,10.87,0.05,49.13,9.32,,1,100,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,2,25.82,0.24,0.0,24.95,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,2,26.18,0.2,0.0,27.03,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,2,26.42,0.27,0.0,25.69,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,2,10.85,0.05,40.58,9.19,,1,100,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,2,26.81,0.13,0.0,25.9,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,2,26.3,0.1,0.0,25.35,86.8,1,100,21,CNN 16k,non-IID,CIFAR10,1.2,0.5422,0.3991,1.7499,2.53,0.3496,0.2856,2.4239
Client 23,3,8.26,0.05,0.0,8.05,,2,179,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,8.16,0.05,0.0,7.21,,2,181,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
