Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.49,0.18,0.0,25.63,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,24.96,0.13,0.0,24.76,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,27.21,0.07,0.0,27.1,138.33,2,116,21,CNN 64k,non-IID,CIFAR10,1.2,0.5647,0.4111,1.4077,2.59,0.3633,0.3083,2.4264
Client 23,2,11.46,0.05,40.49,9.31,,2,153,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,10.98,0.05,32.32,8.62,,2,152,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,27.33,0.07,0.0,25.67,85.79,2,127,21,CNN 64k,non-IID,CIFAR10,1.29,0.4872,0.4481,1.6674,2.42,0.4308,0.3886,2.1912
Client 23,3,12.39,0.05,0.0,9.41,,2,178,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,11.71,0.05,0.0,9.55,,2,177,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,9.83,0.05,28.12,8.09,,2,144,34,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,15.83,0.05,0.0,11.59,,1,100,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,14.99,0.05,0.0,11.07,,1,100,46,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,15.68,0.05,0.0,11.89,46.35,1,100,44,CNN 64k,non-IID,CIFAR10,1.13,0.5483,0.5297,1.4346,2.23,0.4798,0.4427,1.9553
Client 23,4,11.15,0.05,0.0,9.43,,2,183,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,11.1,0.05,0.0,9.49,,2,184,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,10.63,0.05,0.0,9.47,20.8,2,183,34,CNN 64k,non-IID,CIFAR10,1.1,0.5598,0.5477,1.3085,2.16,0.512,0.4834,1.7677
