Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.18,0.09,0.0,24.88,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,24.82,0.08,0.0,25.31,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,25.79,0.2,0.0,25.19,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,26.65,0.07,0.0,25.64,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,25.66,0.1,0.0,26.04,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,27.01,0.12,0.0,26.18,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,25.32,0.35,0.0,25.3,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,25.93,0.19,0.0,25.91,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,25.02,0.13,0.0,25.2,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,26.51,0.11,0.0,26.16,136.34,1,100,21,CNN 16k,non-IID,CIFAR-10,1.29,0.5399,0.3527,1.6219,2.77,0.3273,0.2608,2.5177
Client 1,2,25.02,0.09,0.0,25.17,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,8.56,0.05,47.77,7.93,,2,163,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,26.11,0.2,0.0,26.1,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,11.03,0.05,40.06,9.51,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,26.87,0.1,0.0,27.28,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,27.91,0.12,0.0,26.55,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,10.77,0.05,136.41,9.34,,1,100,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,10.68,0.05,143.02,9.21,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,9.76,0.05,138.48,8.85,,1,100,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,9.71,0.05,278.52,8.76,297.28,1,100,38,CNN 16k,non-IID,CIFAR-10,1.37,0.481,0.4074,1.8512,2.37,0.3849,0.3361,2.3057
Client 1,3,23.46,0.09,0.0,26.04,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,7.65,0.05,0.0,7.24,,2,180,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,22.74,0.2,0.0,23.3,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,10.74,0.05,0.0,9.37,,1,100,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,23.02,0.1,0.0,22.89,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,24.87,0.12,0.0,25.54,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,10.74,0.05,0.0,9.39,,1,100,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,10.53,0.05,0.0,9.0,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,10.21,0.05,0.0,8.77,,1,100,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,10.26,0.05,0.0,8.81,84.9,1,100,38,CNN 16k,non-IID,CIFAR-10,1.3,0.5045,0.4406,1.7669,2.26,0.4122,0.3649,2.1509
Client 1,4,23.38,0.09,0.0,23.33,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,8.06,0.05,0.0,7.65,,2,180,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
