Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,23.36,0.0,0.0,58.75,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,23.89,0.0,0.0,61.46,,2,79,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,23.85,0.0,0.0,73.83,,2,71,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,26.1,0.0,0.0,75.25,,1,59,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,24.61,0.0,0.0,64.47,,1,63,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,25.26,0.0,0.0,26.68,119.67,1,97,21,CNN 16k,IID,CIFAR-10,1.6,0.4151,0.4001,2.1516,1.59,0.4163,0.4009,2.1406
Client 23,2,24.44,0.0,0.0,58.53,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,23.52,0.0,0.0,50.67,,2,89,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,24.58,0.0,0.0,42.59,,2,96,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,26.38,0.0,0.0,30.54,,1,95,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,25.69,0.0,0.0,46.69,,1,76,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,25.95,0.0,0.0,34.78,100.79,1,88,21,CNN 16k,IID,CIFAR-10,1.51,0.4496,0.4381,2.0747,1.51,0.4472,0.4349,2.0819
Client 23,3,24.85,0.0,0.0,57.0,,2,85,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,23.9,0.0,0.0,25.79,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,24.5,0.0,0.0,45.54,,2,95,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,26.03,0.0,0.0,31.03,,1,92,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,26.4,0.0,0.0,57.6,,1,68,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,26.75,0.0,0.0,48.68,100.76,1,77,21,CNN 16k,IID,CIFAR-10,1.43,0.481,0.4746,1.9149,1.45,0.4731,0.466,1.943
