Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.23,0.28,0.0,5.08,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.19,0.29,0.0,5.01,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.23,0.37,0.0,5.08,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,1.33,0.28,0.0,5.26,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,1.36,0.51,0.0,5.19,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,1.32,0.26,0.0,5.18,70.6,1,100,21,CNN 16k,non-IID,CIFAR-10,1.45,0.4671,0.093,2.4972,3.44,0.1081,0.024,3.3279
Client 1,2,2.64,0.16,0.0,6.22,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,1.38,0.14,0.0,4.6,,2,113,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,1.29,0.1,0.0,4.42,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,2.75,0.3,0.0,6.78,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,1.93,0.1,11.45,4.83,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,2.56,0.25,0.0,6.21,83.39,1,100,20,CNN 16k,non-IID,CIFAR-10,1.46,0.4537,0.1794,2.0627,3.66,0.1588,0.0685,3.185
Client 1,3,3.62,0.13,0.0,6.43,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,1.85,0.09,15.38,4.36,,2,119,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,1.91,0.11,12.05,4.86,,2,115,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,3.94,0.17,0.0,7.48,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,2.14,0.13,20.31,4.51,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,2.14,0.11,19.37,4.56,89.95,1,100,20,CNN 16k,non-IID,CIFAR-10,1.44,0.4563,0.2368,1.9006,3.4,0.2152,0.131,3.0025
