Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,122.05,0.0,0.0,44.76,,2,158,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,1,108.44,0.0,0.0,42.93,,2,155,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,1,106.77,0.0,0.0,41.1,,2,156,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,1,107.25,0.0,0.0,40.75,,2,154,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,1,122.89,0.0,0.0,42.46,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,1,124.79,0.0,0.0,42.2,224.76,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,1.19,0.5785,0.3211,1.5826,2.89,0.2698,0.1966,2.8441
Client 1,2,118.32,0.0,0.0,43.06,,2,171,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,2,110.34,0.0,0.0,43.67,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,2,110.98,0.0,0.0,45.85,,2,168,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,2,105.76,0.0,0.0,43.45,,2,168,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,2,121.68,0.0,0.0,42.45,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,2,124.89,0.0,0.0,41.48,181.75,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,1.0,0.6443,0.4082,1.3473,2.85,0.3318,0.2667,2.5813
Client 1,3,122.34,0.0,0.0,44.18,,2,171,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,3,107.65,0.0,0.0,41.28,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,3,112.12,0.0,0.0,43.47,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,3,103.24,0.0,0.0,41.79,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,3,125.3,0.0,0.0,43.56,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,3,123.83,0.0,0.0,41.12,184.84,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.89,0.6887,0.4639,1.1441,2.85,0.3712,0.3073,2.3681
Client 1,4,121.17,0.0,0.0,43.74,,2,173,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,4,106.13,0.0,0.0,44.2,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,4,110.56,0.0,0.0,43.68,,2,170,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,4,104.5,0.0,0.0,43.7,,2,168,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,4,123.25,0.0,0.0,41.79,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,4,124.82,0.0,0.0,41.25,182.09,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.8,0.7208,0.5064,1.0139,2.88,0.4023,0.3416,2.2679
Client 1,5,122.46,0.0,0.0,43.58,,2,172,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,5,108.43,0.0,0.0,43.33,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,5,112.47,0.0,0.0,43.71,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,5,102.68,0.0,0.0,40.84,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,5,124.53,0.0,0.0,43.08,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,5,124.55,0.0,0.0,41.32,182.75,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.74,0.7409,0.5506,0.9418,2.56,0.4267,0.3744,2.1617
Client 1,6,125.79,0.0,0.0,43.99,,2,170,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,6,105.8,0.0,0.0,43.92,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,6,113.05,0.0,0.0,44.07,,2,170,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,6,108.3,0.0,0.0,42.63,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,6,124.63,0.0,0.0,44.53,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,6,124.63,0.0,0.0,44.96,188.76,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.68,0.7631,0.5936,0.8592,2.41,0.4558,0.4075,2.0298
Client 1,7,120.32,0.0,0.0,42.25,,2,172,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,7,124.41,0.0,0.0,44.36,,2,172,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,7,120.43,0.0,0.0,43.52,,2,172,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,7,109.33,0.0,0.0,42.38,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,7,124.42,0.0,0.0,44.15,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,7,124.13,0.0,0.0,43.84,184.9,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.65,0.7818,0.6167,0.7871,2.47,0.4607,0.4134,2.008
Client 1,8,119.75,0.0,0.0,42.61,,2,173,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 2,8,105.62,0.0,0.0,44.14,,2,168,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 3,8,113.34,0.0,0.0,41.66,,2,170,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 4,8,103.88,0.0,0.0,41.17,,2,169,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 5,8,124.53,0.0,0.0,42.82,,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
Client 6,8,124.03,0.0,0.0,42.57,183.49,1,100,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,0.6,0.7911,0.6404,0.7465,2.32,0.4736,0.4324,1.9553
Client 1,9,125.01,0.0,0.0,41.76,,2,172,21,shufflenet_v2_x0_5,non-IID,CIFAR-10,,,,,,,,
