Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,9.63,0.05,39.61,7.97,,2,127,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,9.73,0.05,46.78,7.64,,2,130,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,9.12,0.05,26.63,7.65,113.88,2,123,36,CNN 16k,non-IID,CIFAR10,1.46,0.4139,0.3787,1.8486,2.75,0.3338,0.2659,2.5112
Client 23,2,9.42,0.05,0.0,7.83,,2,180,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,9.58,0.05,0.0,8.24,,2,180,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,8.38,0.05,0.0,7.23,18.48,2,181,36,CNN 16k,non-IID,CIFAR10,1.38,0.4467,0.4072,1.6976,2.42,0.3756,0.3234,2.3494
Client 23,3,9.0,0.05,0.0,7.97,,2,180,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,8.87,0.05,0.0,8.19,,2,179,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,8.14,0.05,0.0,7.59,17.57,2,181,36,CNN 16k,non-IID,CIFAR10,1.34,0.4573,0.4201,1.6917,2.46,0.3957,0.3504,2.173
Client 23,4,8.65,0.05,0.0,7.79,,2,180,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,9.31,0.05,0.0,8.26,,2,178,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,4,8.97,0.05,0.0,8.06,18.35,2,179,36,CNN 16k,non-IID,CIFAR10,1.31,0.4726,0.4376,1.7614,2.42,0.4074,0.3588,2.2116
Client 23,5,9.12,0.05,0.0,7.87,,2,181,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,8.96,0.05,0.0,7.43,,2,181,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,5,8.63,0.05,0.0,7.26,17.49,2,181,36,CNN 16k,non-IID,CIFAR10,1.27,0.4879,0.4657,1.5182,2.37,0.4312,0.3865,2.0584
Client 23,6,8.85,0.05,0.0,8.08,,2,179,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,9.65,0.05,0.0,7.98,,2,181,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,6,8.87,0.05,0.0,7.4,18.26,2,182,36,CNN 16k,non-IID,CIFAR10,1.25,0.4934,0.4693,1.656,2.45,0.4293,0.3902,2.0955
Client 23,7,9.08,0.05,0.0,7.78,,2,180,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.71,0.05,0.0,7.77,,2,181,48,CNN 16k,non-IID,CIFAR10,,,,,,,,
