Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.17,0.31,0.0,4.74,,2,104,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.26,0.32,0.0,4.97,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.21,0.38,0.0,4.91,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.24,0.36,0.0,5.04,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,1,1.22,0.36,0.0,4.87,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,1,1.29,0.46,0.0,5.11,69.77,1,100,21,CNN 16k,non-IID,CIFAR10,1.31,0.564,0.1008,1.8025,3.73,0.1016,0.0208,3.5824
Client 1,2,2.26,0.42,0.0,5.64,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.57,0.26,0.0,6.61,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,2,2.38,0.2,0.0,6.01,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,2,2.47,0.3,0.0,6.19,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,2,2.53,0.26,0.0,5.89,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,2,2.33,0.29,0.0,5.81,77.0,1,100,20,CNN 16k,non-IID,CIFAR10,1.39,0.52,0.1413,1.8641,3.55,0.1427,0.0562,3.3949
Client 1,3,2.01,0.11,0.0,4.69,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,3,1.64,0.08,0.0,4.73,,2,110,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,3,1.94,0.12,0.0,4.57,,2,112,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,3,2.51,0.12,12.35,5.24,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,3,2.4,0.15,14.04,5.28,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,3,2.08,0.09,10.26,4.74,82.91,1,100,19,CNN 16k,non-IID,CIFAR10,1.46,0.4639,0.2156,1.9561,3.77,0.1735,0.098,2.9023
Client 1,4,5.66,0.18,0.0,8.59,,2,106,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,4,6.18,0.17,0.0,8.73,,2,105,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,4,5.53,0.23,0.0,8.59,,2,106,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,4,6.03,0.39,0.0,8.62,,1,100,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,4,5.99,0.35,0.0,9.2,,1,100,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,4,5.89,0.29,0.0,8.61,91.58,1,100,24,CNN 16k,non-IID,CIFAR10,1.19,0.5733,0.2238,1.6227,3.05,0.2083,0.1288,2.8761
Client 1,5,2.85,0.08,11.99,5.04,,2,114,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,5,3.27,0.11,13.49,5.82,,2,114,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,5,2.95,0.1,12.63,5.59,,2,113,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,5,3.95,0.1,16.22,6.03,,1,100,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,5,3.38,0.09,13.82,5.62,,1,100,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,5,3.54,0.1,17.03,5.82,93.07,1,100,23,CNN 16k,non-IID,CIFAR10,1.39,0.4792,0.2962,2.106,2.75,0.2548,0.1825,2.7841
