Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,6.01,0.0,0.0,2.3,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,1,6.12,0.0,0.0,2.27,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,1,5.98,0.0,0.0,2.27,28.0,2,131,19,TextMLP,IID,AGNEWS,0.6,0.7809,0.7799,0.3401,0.61,0.7757,0.7746,0.352
Client 1,2,6.13,0.0,0.0,2.29,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,2,5.68,0.0,0.0,2.65,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,2,5.95,0.0,0.0,2.24,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 4,2,5.85,0.0,0.0,2.43,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 5,2,6.1,0.0,0.0,2.42,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 6,2,6.41,0.0,0.0,2.45,10.93,1,100,19,TextMLP,IID,AGNEWS,0.5,0.8185,0.8177,0.283,0.52,0.8097,0.8088,0.2968
Client 1,3,6.41,0.0,0.0,2.56,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,3,5.81,0.0,0.0,2.39,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,3,6.64,0.0,0.0,2.48,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 4,3,5.8,0.0,0.0,2.34,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 5,3,6.1,0.0,0.0,2.52,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 6,3,6.18,0.0,0.0,2.61,11.33,1,100,19,TextMLP,IID,AGNEWS,0.48,0.8273,0.8276,0.2702,0.5,0.8179,0.818,0.2852
Client 1,4,6.49,0.0,0.0,2.38,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,4,6.15,0.0,0.0,2.39,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,4,6.39,0.0,0.0,2.32,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 4,4,6.18,0.0,0.0,2.42,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 5,4,6.19,0.0,0.0,2.55,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 6,4,6.44,0.0,0.0,2.59,11.01,1,100,19,TextMLP,IID,AGNEWS,0.46,0.8318,0.8318,0.2672,0.48,0.8229,0.8228,0.2817
Client 1,5,6.43,0.0,0.0,2.48,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,5,5.97,0.0,0.0,2.32,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,5,6.24,0.0,0.0,2.37,11.1,2,185,19,TextMLP,IID,AGNEWS,0.45,0.837,0.8364,0.2561,0.47,0.8274,0.8267,0.2726
Client 1,6,6.2,0.0,0.0,2.36,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,6,5.87,0.0,0.0,2.39,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,6,6.06,0.0,0.0,2.26,10.43,2,188,19,TextMLP,IID,AGNEWS,0.44,0.8372,0.8371,0.256,0.46,0.8285,0.8283,0.2689
