Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.58,0.0,0.0,6.26,,2,103,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.68,0.0,0.0,6.18,,2,103,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,2.08,0.0,0.0,7.86,99.64,2,103,21,CNN 64k,non-IID,CIFAR10,1.38,0.4653,0.104,2.7059,3.88,0.1161,0.0302,3.6633
Client 1,2,3.69,0.0,0.0,7.51,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,4.13,0.0,0.0,8.07,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,3.79,0.0,0.0,8.63,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,2.07,0.0,0.0,6.72,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,2.41,0.0,0.0,8.57,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,1.96,0.0,0.0,8.63,107.17,1,100,20,CNN 64k,non-IID,CIFAR10,1.25,0.5507,0.173,2.0699,3.68,0.1651,0.0748,3.2458
Client 1,3,5.71,0.0,0.0,10.22,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,5.21,0.0,0.0,10.19,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,4.71,0.0,0.0,9.78,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,4.54,0.0,0.0,10.5,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,4.5,0.0,0.0,10.66,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,4.24,0.0,0.0,10.14,109.89,1,100,19,CNN 64k,non-IID,CIFAR10,1.03,0.6658,0.2017,1.2537,3.38,0.1934,0.1027,2.8983
Client 1,4,6.19,0.0,0.0,9.69,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,7.0,0.0,0.0,9.92,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,6.22,0.0,0.0,9.45,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,5.13,0.0,0.0,8.84,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,6.12,0.0,0.0,8.87,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,4.91,0.0,0.0,12.16,111.67,1,100,20,CNN 64k,non-IID,CIFAR10,1.28,0.5451,0.2648,1.6667,2.79,0.2485,0.1721,2.6327
Client 1,5,7.57,0.0,0.0,11.59,,2,106,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,8.5,0.0,0.0,11.03,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,8.58,0.0,0.0,12.29,,2,106,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,8.1,0.0,0.0,10.36,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,7.39,0.0,0.0,10.58,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,6.64,0.0,0.0,9.64,107.08,1,100,19,CNN 64k,non-IID,CIFAR10,0.95,0.6855,0.2797,1.1755,2.91,0.2612,0.1659,2.8996
