Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.23,0.33,0.0,5.78,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.26,0.34,0.0,5.3,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.34,0.28,0.0,5.53,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,1.28,0.37,0.0,5.35,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,1.29,0.36,0.0,5.43,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,1.25,0.41,0.0,5.19,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,1.29,0.38,0.0,5.37,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,1.38,0.26,0.0,5.61,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,1.24,0.46,0.0,5.53,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,1.35,0.32,0.0,5.47,76.91,1,100,21,CNN 16k,non-IID,CIFAR-10,1.41,0.4781,0.117,1.805,3.55,0.1161,0.0344,3.2585
Client 1,2,2.53,0.16,0.0,6.74,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,3.23,0.22,0.0,6.69,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.76,0.27,0.0,6.65,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,2.62,0.49,0.0,6.31,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,2.72,0.25,0.0,6.72,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,2.46,0.32,0.0,6.45,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,2.78,0.57,0.0,6.74,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,3.11,0.26,0.0,7.01,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,2.52,0.26,0.0,7.18,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,2.69,0.28,0.0,6.51,83.21,1,100,20,CNN 16k,non-IID,CIFAR-10,1.32,0.5642,0.1192,1.6255,3.69,0.1289,0.0462,3.0659
Client 1,3,4.05,0.19,0.0,7.49,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,4.02,0.28,0.0,8.13,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,4.11,0.24,0.0,7.63,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,4.2,0.27,0.0,8.12,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,4.16,0.35,0.0,7.44,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,4.59,0.19,0.0,7.81,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,4.35,0.19,0.0,8.24,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,4.53,0.27,0.0,8.02,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,4.28,0.28,0.0,7.53,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,4.19,0.22,0.0,7.5,86.51,1,100,19,CNN 16k,non-IID,CIFAR-10,1.44,0.4817,0.17,1.7962,3.2,0.1701,0.0887,2.9781
