Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.18,0.0,0.0,24.97,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,27.89,0.0,0.0,26.01,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,28.02,0.0,0.0,27.37,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,29.35,0.0,0.0,27.44,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,29.22,0.0,0.0,27.15,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,29.74,0.0,0.0,28.25,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 7,1,29.85,0.0,0.0,27.5,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 8,1,32.09,0.0,0.0,28.38,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 9,1,29.65,0.0,0.0,28.09,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 10,1,30.15,0.0,0.0,27.64,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 11,1,29.76,0.0,0.0,27.15,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 12,1,31.02,0.0,0.0,28.04,125.41,1,100,21,CNN 64k,non-IID,CIFAR10,1.16,0.5877,0.4177,1.5092,2.73,0.3705,0.3136,2.296
Client 1,2,27.62,0.0,0.0,25.63,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,27.76,0.0,0.0,25.23,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,27.12,0.0,0.0,26.9,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,27.25,0.0,0.0,26.0,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,30.22,0.0,0.0,27.22,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,30.4,0.0,0.0,27.47,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 7,2,30.32,0.0,0.0,27.77,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 8,2,29.99,0.0,0.0,28.1,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 9,2,31.66,0.0,0.0,27.38,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 10,2,30.09,0.0,0.0,28.8,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 11,2,31.1,0.0,0.0,27.96,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 12,2,30.68,0.0,0.0,27.92,76.1,1,100,21,CNN 64k,non-IID,CIFAR10,1.03,0.6338,0.4908,1.3495,2.33,0.4217,0.3744,2.1447
