Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.4,0.0,0.0,5.58,,2,103,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.86,0.0,0.0,6.08,,2,103,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,2.26,0.0,0.0,5.85,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.63,0.0,0.0,6.0,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.48,0.0,0.0,5.66,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,2.43,0.0,0.0,6.52,95.33,1,100,21,CNN 64k,non-IID,CIFAR10,1.31,0.5654,0.1255,1.4027,3.6,0.1245,0.0359,3.3457
Client 23,2,2.8,0.0,0.0,6.33,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.76,0.0,0.0,6.65,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,3.05,0.0,0.0,7.64,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,3.12,0.0,0.0,7.13,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,3.15,0.0,0.0,7.25,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,3.71,0.0,0.0,7.13,93.79,1,100,20,CNN 64k,non-IID,CIFAR10,1.35,0.5311,0.1784,1.4679,3.39,0.1736,0.0871,2.8949
Client 23,3,4.29,0.0,0.0,8.56,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,5.06,0.0,0.0,8.78,,2,105,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.98,0.0,0.0,9.31,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,6.45,0.0,0.0,9.72,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,5.25,0.0,0.0,9.01,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
