Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.29,0.38,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.29,0.3,0.0,0.21,18.32,2,104,19,TextMLP,non-IID,AGNEWS,0.53,0.8162,0.2993,0.1878,2.75,0.25,0.1,1.25
Client 1,2,0.57,0.21,0.0,0.29,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.6,0.17,0.0,0.3,18.34,2,106,24,TextMLP,non-IID,AGNEWS,0.93,0.5566,0.2386,0.5968,2.75,0.2501,0.1003,1.2497
Client 1,3,0.99,0.21,0.0,0.42,,2,109,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,0.99,0.32,0.0,0.43,18.91,2,109,24,TextMLP,non-IID,AGNEWS,0.64,0.7807,0.3838,0.3364,3.79,0.2973,0.1657,1.3458
Client 1,4,1.13,0.3,0.0,0.49,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,1.1,0.24,0.0,0.49,19.06,2,109,24,TextMLP,non-IID,AGNEWS,0.5,0.823,0.4986,0.2798,4.32,0.3586,0.2406,1.1446
Client 1,5,1.38,0.29,0.0,0.6,,2,111,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,1.41,0.21,0.0,0.59,21.15,2,111,25,TextMLP,non-IID,AGNEWS,0.45,0.827,0.5814,0.2535,5.1,0.4079,0.305,1.024
Client 1,6,1.73,0.25,0.0,0.79,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,1.75,0.21,0.0,0.7,20.4,2,114,25,TextMLP,non-IID,AGNEWS,0.41,0.8535,0.7548,0.1994,5.54,0.5441,0.4652,0.7724
Client 1,7,1.93,0.25,0.0,0.82,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,7,1.97,0.19,0.0,0.83,21.35,2,114,25,TextMLP,non-IID,AGNEWS,0.36,0.8697,0.7992,0.1846,5.75,0.5754,0.4949,0.7384
Client 1,8,2.21,0.24,0.0,0.91,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,8,2.57,0.18,0.0,0.92,21.94,2,117,25,TextMLP,non-IID,AGNEWS,0.32,0.8809,0.8284,0.1704,5.7,0.6019,0.519,0.7009
Client 1,9,2.56,0.23,0.0,1.02,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,9,2.63,0.21,0.0,1.03,22.48,2,117,25,TextMLP,non-IID,AGNEWS,0.29,0.8915,0.843,0.1598,5.65,0.6179,0.5337,0.6694
Client 1,10,2.79,0.22,0.0,1.15,,2,120,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,10,3.0,0.23,0.0,1.12,21.36,2,121,25,TextMLP,non-IID,AGNEWS,0.28,0.8969,0.846,0.1559,5.7,0.6205,0.5375,0.6699
Client 1,11,3.07,0.22,0.0,1.27,,2,120,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,11,3.1,0.24,0.0,1.24,24.05,2,121,25,TextMLP,non-IID,AGNEWS,0.27,0.8965,0.8376,0.1575,5.8,0.5944,0.5183,0.7403
