Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,7.98,0.14,30.57,2.41,,2,161,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,7.61,0.14,30.52,2.41,,2,160,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,7.53,0.14,30.74,2.46,,2,159,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,7.04,0.14,45.3,2.32,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,7.45,0.14,46.71,2.45,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,7.25,0.14,44.76,2.55,74.92,1,100,28,TextMLP,non-IID,AGNEWS,0.57,0.746,0.7424,0.3013,3.06,0.5932,0.5118,0.6054
Client 1,2,7.17,0.14,0.0,2.23,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,7.0,0.14,0.0,2.27,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,7.32,0.14,0.0,2.32,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,7.16,0.14,0.0,2.38,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,7.16,0.14,0.0,2.38,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,7.23,0.14,0.0,2.38,10.36,1,100,28,TextMLP,non-IID,AGNEWS,0.45,0.7859,0.7803,0.2592,5.1,0.6397,0.5538,0.5581
Client 1,3,7.66,0.14,0.0,2.4,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,7.35,0.14,0.0,2.39,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,7.21,0.14,0.0,2.29,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,6.9,0.14,0.0,2.23,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,7.03,0.14,0.0,2.3,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,7.24,0.14,0.0,2.4,10.74,1,100,28,TextMLP,non-IID,AGNEWS,0.43,0.7978,0.7944,0.2478,6.62,0.6546,0.5707,0.4938
Client 1,4,7.59,0.14,0.0,2.4,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,7.47,0.14,0.0,2.31,,2,193,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,4,8.29,0.14,0.0,2.33,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,4,7.46,0.14,0.0,2.53,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,4,7.61,0.14,0.0,2.27,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,4,8.1,0.14,0.0,2.44,11.53,1,100,28,TextMLP,non-IID,AGNEWS,0.41,0.8065,0.8011,0.2342,7.19,0.659,0.5709,0.5185
Client 1,5,7.46,0.14,0.0,2.26,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,7.73,0.14,0.0,2.27,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,5,7.14,0.14,0.0,2.2,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,5,6.8,0.14,0.0,2.26,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,5,7.08,0.14,0.0,2.33,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,5,7.03,0.14,0.0,2.23,10.68,1,100,28,TextMLP,non-IID,AGNEWS,0.41,0.8051,0.7992,0.2363,7.68,0.6556,0.5677,0.5318
Client 1,6,7.16,0.14,0.0,2.3,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,7.53,0.14,0.0,2.83,,2,194,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,6,7.32,0.14,0.0,2.37,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,6,6.85,0.14,0.0,2.23,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,6,7.13,0.14,0.0,2.67,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,6,6.89,0.14,0.0,2.53,11.41,1,100,28,TextMLP,non-IID,AGNEWS,0.4,0.8018,0.7976,0.2431,7.68,0.6547,0.5685,0.5366
Client 1,7,7.5,0.14,0.0,2.25,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,7,7.27,0.14,0.0,2.29,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,7,7.24,0.14,0.0,2.31,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,7,7.72,0.14,0.0,2.34,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,7,7.14,0.14,0.0,2.38,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,7,7.38,0.14,0.0,2.4,10.71,1,100,28,TextMLP,non-IID,AGNEWS,0.39,0.8108,0.807,0.2279,7.46,0.6654,0.5765,0.5039
Client 1,8,7.04,0.14,0.0,2.21,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,8,7.35,0.14,0.0,2.33,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,8,7.28,0.14,0.0,2.28,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,8,7.08,0.14,0.0,2.46,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,8,7.25,0.14,0.0,2.28,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,8,7.01,0.14,0.0,2.32,10.49,1,100,28,TextMLP,non-IID,AGNEWS,0.39,0.8092,0.804,0.2303,7.42,0.6585,0.5704,0.5326
Client 1,9,7.44,0.14,0.0,2.34,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,9,7.2,0.14,0.0,2.29,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,9,7.57,0.14,0.0,2.38,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,9,7.09,0.14,0.0,2.32,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,9,6.94,0.14,0.0,2.27,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,9,7.99,0.14,0.0,2.35,11.1,1,100,28,TextMLP,non-IID,AGNEWS,0.39,0.8093,0.8061,0.2306,7.57,0.6652,0.5778,0.4955
