Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,7.08,0.0,0.0,2.73,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,8.44,0.0,0.0,2.31,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,8.3,0.0,0.0,2.46,,2,134,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,8.85,0.0,0.0,2.49,,2,135,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,8.7,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,9.03,0.0,0.0,2.52,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,1,7.55,0.0,0.0,2.65,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,1,9.39,0.0,0.0,2.6,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,1,9.08,0.0,0.0,2.67,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,1,10.08,0.0,0.0,2.62,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,1,7.37,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,1,9.17,0.0,0.0,2.51,33.65,1,100,19,TextMLP,IID,AGNEWS,0.59,0.7861,0.7856,0.3419,0.6,0.7802,0.7797,0.3503
Client 23,2,6.33,0.0,0.0,2.47,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,8.93,0.0,0.0,2.77,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,7.2,0.0,0.0,2.37,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,6.62,0.0,0.0,2.35,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,9.02,0.0,0.0,2.46,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,9.2,0.0,0.0,2.49,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,2,7.03,0.0,0.0,2.49,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,2,7.92,0.0,0.0,2.59,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,2,6.31,0.0,0.0,2.43,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,2,7.05,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,2,6.49,0.0,0.0,2.64,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,2,7.14,0.0,0.0,2.44,13.15,1,100,19,TextMLP,IID,AGNEWS,0.52,0.8137,0.8133,0.2925,0.53,0.8053,0.8049,0.3056
Client 23,3,6.32,0.0,0.0,3.17,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,6.08,0.0,0.0,2.39,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,3,6.41,0.0,0.0,2.96,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,3,7.17,0.0,0.0,3.11,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,3,8.46,0.0,0.0,2.69,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,3,6.55,0.0,0.0,2.56,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,3,6.56,0.0,0.0,2.44,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,3,9.19,0.0,0.0,2.73,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,3,6.63,0.0,0.0,2.66,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,3,6.39,0.0,0.0,3.7,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,3,6.22,0.0,0.0,2.53,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,3,6.84,0.0,0.0,3.37,13.45,1,100,19,TextMLP,IID,AGNEWS,0.49,0.8246,0.8236,0.2777,0.5,0.8152,0.8142,0.2926
Client 23,4,10.19,0.0,0.0,3.27,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,4,10.08,0.0,0.0,3.61,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,4,9.73,0.0,0.0,3.25,,2,182,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,4,10.6,0.0,0.0,3.36,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,4,10.8,0.0,0.0,3.74,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,4,9.87,0.0,0.0,3.58,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,4,8.31,0.0,0.0,2.69,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,4,11.89,0.0,0.0,3.13,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,4,10.9,0.0,0.0,3.58,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,4,13.25,0.0,0.0,2.82,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,4,10.52,0.0,0.0,3.48,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,4,9.98,0.0,0.0,3.61,18.25,1,100,19,TextMLP,IID,AGNEWS,0.47,0.829,0.8282,0.2689,0.49,0.8187,0.8178,0.2839
Client 23,5,7.33,0.0,0.0,2.33,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,5,7.69,0.0,0.0,2.29,,2,181,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,5,7.55,0.0,0.0,2.48,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,5,7.74,0.0,0.0,2.36,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,5,7.66,0.0,0.0,2.48,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,5,8.25,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,5,6.97,0.0,0.0,2.49,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,5,8.35,0.0,0.0,2.53,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,5,8.95,0.0,0.0,2.34,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,5,8.07,0.0,0.0,2.45,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,5,8.09,0.0,0.0,2.47,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,5,7.5,0.0,0.0,2.58,13.18,1,100,19,TextMLP,IID,AGNEWS,0.46,0.8331,0.8327,0.2664,0.48,0.8231,0.8226,0.2806
Client 23,6,6.18,0.0,0.0,2.52,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,6,7.11,0.0,0.0,2.32,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,6,6.56,0.0,0.0,2.72,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,6,6.78,0.0,0.0,2.36,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,6,6.55,0.0,0.0,2.48,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,6,6.37,0.0,0.0,2.53,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,6,6.39,0.0,0.0,2.46,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,6,7.82,0.0,0.0,2.6,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,6,6.49,0.0,0.0,2.52,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,6,7.13,0.0,0.0,2.45,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,6,6.57,0.0,0.0,2.53,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,6,6.24,0.0,0.0,2.44,11.47,1,100,19,TextMLP,IID,AGNEWS,0.45,0.8348,0.8339,0.2634,0.48,0.8245,0.8235,0.2771
Client 23,7,6.53,0.0,0.0,2.36,,2,180,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,7,7.47,0.0,0.0,3.34,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,7,7.21,0.0,0.0,3.64,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,7,6.26,0.0,0.0,2.9,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,7,6.22,0.0,0.0,2.64,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,7,6.86,0.0,0.0,3.83,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,7,6.46,0.0,0.0,2.56,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,7,6.24,0.0,0.0,2.57,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,7,6.85,0.0,0.0,2.61,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,7,6.32,0.0,0.0,2.61,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,7,6.51,0.0,0.0,2.58,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,7,6.52,0.0,0.0,2.45,12.92,1,100,19,TextMLP,IID,AGNEWS,0.45,0.8374,0.8366,0.2586,0.47,0.8271,0.8262,0.272
Client 23,8,9.58,0.0,0.0,3.25,,2,183,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,8,10.44,0.0,0.0,3.0,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,8,7.31,0.0,0.0,2.51,,2,182,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,8,9.35,0.0,0.0,3.16,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,8,10.26,0.0,0.0,3.41,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,8,9.98,0.0,0.0,3.77,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,8,7.0,0.0,0.0,2.58,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,8,11.2,0.0,0.0,3.41,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,8,10.77,0.0,0.0,3.28,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,8,10.31,0.0,0.0,3.53,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,8,10.89,0.0,0.0,3.06,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,8,10.25,0.0,0.0,3.62,15.85,1,100,19,TextMLP,IID,AGNEWS,0.45,0.8351,0.8345,0.262,0.47,0.8252,0.8246,0.2755
