Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.31,0.45,0.0,5.15,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.28,0.41,0.0,5.19,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.41,0.31,0.0,5.31,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.33,0.28,0.0,5.13,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.42,0.39,0.0,5.44,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.51,0.27,0.0,5.85,72.49,1,100,21,CNN 64k,non-IID,CIFAR10,1.27,0.5631,0.1096,1.7229,3.68,0.1095,0.0286,3.6002
Client 23,2,2.71,0.28,0.0,6.3,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.58,0.2,0.0,6.32,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.69,0.49,0.0,6.67,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.68,0.38,0.0,6.26,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.82,0.2,0.0,6.48,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.82,0.29,0.0,6.44,76.1,1,100,20,CNN 64k,non-IID,CIFAR10,1.21,0.5893,0.1657,1.4356,3.67,0.1645,0.0714,3.12
Client 23,3,3.92,0.2,0.0,7.52,,2,106,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.8,0.28,0.0,7.06,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.3,0.21,0.0,7.67,,2,106,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.86,0.25,0.0,7.46,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,4.24,0.23,0.0,8.19,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,4.24,0.41,0.0,7.98,80.47,1,100,19,CNN 64k,non-IID,CIFAR10,1.3,0.5095,0.1995,1.8956,3.27,0.1969,0.1069,3.0846
Client 23,4,5.16,0.31,0.0,8.35,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.92,0.29,0.0,8.14,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,5.44,0.16,0.0,8.54,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,5.6,0.29,0.0,9.23,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,6.09,0.17,0.0,9.03,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,5.65,0.3,0.0,9.43,86.43,1,100,19,CNN 64k,non-IID,CIFAR10,1.17,0.5867,0.263,1.5692,3.0,0.238,0.1544,2.7259
Client 23,5,6.41,0.17,0.0,10.05,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.63,0.14,0.0,9.97,,2,107,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,7.03,0.14,0.0,9.53,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,7.96,0.24,0.0,10.29,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,7.46,0.08,0.0,10.09,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,7.19,0.28,0.0,9.85,90.78,1,100,18,CNN 64k,non-IID,CIFAR10,1.25,0.5397,0.3253,1.7369,2.52,0.2974,0.2276,2.6074
