Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,27.85,26.57,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,28.35,26.43,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,27.81,28.36,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,28.92,26.32,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,29.42,26.22,68.6,2,139,41,CNN 16k,non-IID,CIFAR-10,1.26,0.5448,0.3512,1.5885,2.88,0.3281,0.2468,2.517
Client 1,2,29.53,25.45,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,27.72,26.42,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,27.39,25.59,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,29.87,27.17,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,27.48,25.92,57.05,2,140,41,CNN 16k,non-IID,CIFAR-10,1.17,0.5812,0.4147,1.4445,2.68,0.3649,0.2981,2.4769
Client 1,3,27.83,27.92,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,28.81,28.01,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,29.4,26.88,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,29.33,28.14,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,28.35,26.33,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,33.53,28.63,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,31.27,28.13,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,30.25,27.26,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,31.03,27.79,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,30.7,28.17,62.18,1,100,41,CNN 16k,non-IID,CIFAR-10,1.14,0.5863,0.4605,1.4541,2.39,0.3974,0.3421,2.317
Client 1,4,28.76,26.96,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,31.51,26.26,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,29.84,26.92,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,28.75,28.37,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,29.61,27.43,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,29.26,28.24,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,4,31.28,29.01,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,4,30.84,29.15,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
