Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.81,0.22,0.0,2.16,,2,132,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,5.48,0.22,0.0,2.23,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,5.84,0.22,0.0,2.27,26.65,2,131,19,TextMLP,non-IID,AGNEWS,0.36,0.8701,0.803,0.1925,3.0,0.5814,0.5019,0.7348
Client 23,2,5.93,0.22,0.0,2.34,,2,183,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,6.24,0.14,23.38,2.02,,2,182,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,6.88,0.14,26.11,2.31,,2,184,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,2,7.07,0.14,40.99,2.32,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,2,6.17,0.22,0.0,2.52,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,2,6.17,0.22,0.0,2.56,51.38,1,100,19,TextMLP,non-IID,AGNEWS,0.36,0.8502,0.8207,0.2005,3.87,0.6278,0.5443,0.6073
Client 23,3,6.41,0.14,22.43,2.02,,2,180,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,4.95,0.14,0.0,1.54,,2,175,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,5.45,0.14,0.0,1.74,41.58,2,176,28,TextMLP,non-IID,AGNEWS,0.43,0.7918,0.7892,0.2545,4.06,0.6449,0.5616,0.5246
