Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.27,0.0,0.0,5.17,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.23,0.0,0.0,4.88,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.32,0.0,0.0,5.39,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.4,0.0,0.0,5.35,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,1.35,0.0,0.0,5.23,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,1.42,0.0,0.0,5.56,69.79,1,100,21,CNN 64k,non-IID,CIFAR10,1.31,0.5355,0.1186,2.0716,3.81,0.1173,0.0335,3.7288
Client 1,2,2.65,0.0,0.0,6.35,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.48,0.0,0.0,5.99,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,2.58,0.0,0.0,6.11,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,2.82,0.0,0.0,6.47,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,3.18,0.0,0.0,6.57,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,2.89,0.0,0.0,6.29,71.48,1,100,20,CNN 64k,non-IID,CIFAR10,1.29,0.5385,0.188,1.7286,3.41,0.1936,0.098,2.9154
Client 1,3,4.0,0.3,0.0,7.51,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,3.79,0.21,0.0,7.15,,2,106,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,3.97,0.25,0.0,7.41,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,4.24,0.27,0.0,7.58,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,4.31,0.26,0.0,7.63,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,4.08,0.22,0.0,7.53,78.17,1,100,18,CNN 64k,non-IID,CIFAR10,1.16,0.5853,0.2493,1.6056,3.11,0.2336,0.1389,2.8188
