Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.27,0.3,0.0,5.1,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.28,0.26,0.0,5.03,65.36,2,104,21,CNN 64k,non-IID,CIFAR10,1.54,0.4476,0.1171,2.379,3.34,0.1228,0.0342,3.325
Client 23,2,2.43,0.2,0.0,5.68,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,3.03,0.2,0.0,5.81,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.37,0.38,0.0,5.34,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.49,0.38,0.0,5.11,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,1.35,0.27,0.0,4.92,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,1.36,0.28,0.0,5.14,76.4,1,100,20,CNN 64k,non-IID,CIFAR10,1.39,0.516,0.1599,1.6673,3.33,0.1571,0.0627,3.0158
Client 23,3,4.06,0.26,0.0,7.5,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.83,0.16,0.0,6.83,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,2.9,0.26,0.0,6.59,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,2.87,0.24,0.0,6.82,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,3.14,0.41,0.0,6.59,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,2.99,0.26,0.0,6.44,78.09,1,100,20,CNN 64k,non-IID,CIFAR10,1.29,0.5375,0.2089,1.4449,3.19,0.199,0.1105,2.813
Client 23,4,5.19,0.27,0.0,8.22,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.33,0.23,0.0,8.39,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.2,0.21,0.0,7.44,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,4.38,0.5,0.0,7.51,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,4.2,0.28,0.0,7.41,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,3.87,0.27,0.0,7.25,80.28,1,100,20,CNN 64k,non-IID,CIFAR10,0.98,0.6736,0.2417,1.2481,2.94,0.2243,0.1294,2.9491
Client 23,5,6.96,0.11,0.0,10.39,,2,108,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,7.26,0.13,0.0,9.88,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,6.07,0.12,0.0,9.7,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,6.24,0.23,0.0,9.85,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,6.07,0.18,0.0,9.4,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,6.52,0.27,0.0,9.53,87.24,1,100,20,CNN 64k,non-IID,CIFAR10,1.27,0.5364,0.3202,1.6312,2.55,0.3001,0.2175,2.6946
Client 23,6,8.14,0.17,0.0,10.78,,2,108,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,8.04,0.18,0.0,10.63,,2,108,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,7.46,0.22,0.0,10.23,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,7.49,0.39,0.0,11.23,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,6.92,0.21,0.0,9.85,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,6.65,0.19,0.0,9.98,92.63,1,100,20,CNN 64k,non-IID,CIFAR10,1.02,0.6482,0.3566,1.3385,2.59,0.3092,0.2306,2.5369
Client 23,7,9.76,0.2,0.0,11.79,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.95,0.39,0.0,12.69,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,9.03,0.14,0.0,11.73,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,7,8.83,0.22,0.0,11.19,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,7,10.11,0.19,0.0,11.47,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,7,8.33,0.23,0.0,10.71,95.4,1,100,20,CNN 64k,non-IID,CIFAR10,0.94,0.6717,0.377,1.2969,2.55,0.3236,0.2494,2.4615
Client 23,8,11.13,0.22,0.0,13.7,,2,110,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,10.33,0.22,0.0,13.22,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,9.75,0.11,0.0,12.25,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,10.13,0.19,0.0,13.39,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,8,10.77,0.22,0.0,13.21,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,8,9.84,0.23,0.0,12.12,100.08,1,100,20,CNN 64k,non-IID,CIFAR10,1.05,0.6143,0.4275,1.3322,2.37,0.3606,0.3019,2.3529
