Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.84,0.0,0.0,2.25,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,5.6,0.0,0.0,2.16,27.38,2,130,19,TextMLP,IID,AGNEWS,0.6,0.7807,0.7807,0.3354,0.6,0.7763,0.7763,0.3361
Client 23,2,5.69,0.0,0.0,2.18,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,5.58,0.0,0.0,2.17,9.86,2,188,19,TextMLP,IID,AGNEWS,0.5,0.8179,0.8172,0.2837,0.52,0.8109,0.8102,0.2924
Client 23,3,5.71,0.0,0.0,2.19,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,5.73,0.0,0.0,2.19,9.87,2,186,19,TextMLP,IID,AGNEWS,0.48,0.8246,0.8237,0.2758,0.5,0.8167,0.8158,0.2881
Client 23,4,5.95,0.0,0.0,2.31,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,4,5.6,0.0,0.0,2.13,9.97,2,189,19,TextMLP,IID,AGNEWS,0.46,0.8313,0.8314,0.2689,0.48,0.8237,0.8239,0.279
Client 23,5,5.6,0.0,0.0,2.19,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,5,5.86,0.0,0.0,2.23,9.76,2,188,19,TextMLP,IID,AGNEWS,0.45,0.8367,0.8358,0.2587,0.47,0.8281,0.8272,0.2708
Client 23,6,5.78,0.0,0.0,2.17,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,6,5.79,0.0,0.0,2.2,9.71,2,188,19,TextMLP,IID,AGNEWS,0.45,0.836,0.8355,0.2656,0.47,0.8276,0.827,0.2774
