Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.26,0.32,0.0,4.82,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.34,0.29,0.0,5.07,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.29,0.25,0.0,5.12,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.3,0.24,0.0,4.83,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.29,0.36,0.0,5.08,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.3,0.33,0.0,5.09,68.36,1,100,21,CNN 64k,non-IID,CIFAR10,1.46,0.4761,0.1168,1.9817,3.63,0.1213,0.0358,3.0382
Client 23,2,2.75,0.23,0.0,6.39,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.51,0.09,0.0,4.62,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.33,0.09,0.0,4.5,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.53,0.17,0.0,4.4,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.02,0.12,0.0,5.0,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.63,0.31,0.0,6.0,77.0,1,100,20,CNN 64k,non-IID,CIFAR10,1.36,0.4885,0.23,1.8763,3.62,0.1954,0.1024,3.1333
