Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.08,0.24,5.04,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.09,0.37,4.58,68.23,2,103,19,CNN 16k,non-IID,CIFAR-10,1.54,0.4478,0.1773,2.9278,3.57,0.1651,0.0796,3.3904
Client 1,2,2.4,0.25,5.64,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.4,0.25,6.65,,2,104,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,1.21,0.33,4.88,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,1.18,0.26,4.87,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,1.17,0.39,4.83,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,1.15,0.32,4.65,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,1.2,0.35,4.99,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,1.4,0.37,5.42,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,1.19,0.43,4.94,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,1.19,0.54,4.9,72.58,1,100,20,CNN 16k,non-IID,CIFAR-10,1.38,0.5107,0.1478,1.8143,3.62,0.1417,0.0584,3.014
Client 1,3,4.14,0.38,7.41,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,4.25,0.29,7.14,74.51,2,105,19,CNN 16k,non-IID,CIFAR-10,1.23,0.5427,0.1493,1.3311,3.83,0.1479,0.0612,2.9283
Client 1,4,4.66,0.1,8.23,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,4.38,0.21,8.32,81.34,2,105,19,CNN 16k,non-IID,CIFAR-10,1.56,0.44,0.2418,2.444,2.69,0.2339,0.157,2.9451
Client 1,5,5.78,0.14,9.48,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,5.15,0.25,7.86,87.22,2,106,19,CNN 16k,non-IID,CIFAR-10,1.36,0.5344,0.2011,1.4287,2.78,0.2086,0.1119,2.795
Client 1,6,7.16,0.13,9.99,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,6.98,0.15,10.22,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,2.37,0.35,5.75,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,2.37,0.39,5.79,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,2.38,0.28,5.96,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,2.47,0.27,6.1,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,6,2.57,0.29,6.14,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,6,2.71,0.25,6.01,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,6,2.42,0.27,5.83,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,6,2.26,0.31,5.71,88.26,1,100,20,CNN 16k,non-IID,CIFAR-10,1.25,0.5355,0.2695,1.5175,2.72,0.2432,0.1796,2.6954
Client 1,7,7.66,0.16,10.38,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,9.3,0.23,11.86,92.09,2,108,20,CNN 16k,non-IID,CIFAR-10,1.24,0.57,0.3019,1.3443,2.44,0.2748,0.2017,2.6435
