Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.3,0.23,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.32,0.42,0.0,0.23,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,0.31,0.19,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,1,0.32,0.55,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,1,0.29,0.39,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,1,0.31,0.21,0.0,0.22,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,1,0.32,0.28,0.0,0.2,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,1,0.3,0.48,0.0,0.2,19.53,2,104,19,TextMLP,non-IID,AGNEWS,0.54,0.7456,0.4035,0.3488,3.17,0.25,0.1,1.125
Client 23,2,0.59,0.21,0.0,0.32,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.78,0.33,0.0,0.35,,2,107,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,0.71,0.14,0.0,0.34,,2,122,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,2,0.74,0.14,0.0,0.32,,2,118,23,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,2,0.74,0.14,0.0,0.29,,2,122,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,2,0.7,0.14,0.0,0.29,,2,122,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,2,0.69,0.14,0.0,0.3,,2,124,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,2,0.58,0.31,0.0,0.24,,2,105,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,2,0.36,0.14,0.0,0.22,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,2,0.35,0.14,0.0,0.22,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 33,2,0.31,0.21,0.0,0.25,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 34,2,0.3,0.31,0.0,0.22,23.79,1,100,24,TextMLP,non-IID,AGNEWS,0.78,0.5936,0.3894,0.5885,3.33,0.2709,0.1355,1.0898
Client 23,3,1.3,0.14,0.0,0.41,,2,132,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,1.1,0.14,0.0,0.42,,2,131,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,1.46,0.14,0.0,0.45,,2,124,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,1.07,0.14,0.0,0.45,,2,126,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,1.13,0.14,0.0,0.45,,2,109,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,1.19,0.14,0.0,0.43,,2,131,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,3,1.13,0.14,0.0,0.48,,2,129,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,3,1.65,0.14,0.0,0.49,,2,130,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,3,0.67,0.14,11.67,0.33,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,3,0.7,0.14,10.14,0.31,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 33,3,0.73,0.14,10.41,0.33,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 34,3,0.72,0.14,10.59,0.34,30.16,1,100,24,TextMLP,non-IID,AGNEWS,0.81,0.6217,0.5847,0.5218,3.83,0.3377,0.2209,0.99
