Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.14,0.22,0.0,5.38,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.15,0.32,0.0,4.8,70.01,2,103,21,CNN 16k,non-IID,CIFAR10,1.66,0.3816,0.1055,2.5484,3.09,0.1121,0.0329,3.1475
Client 23,2,2.67,0.26,0.0,5.85,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.37,0.28,0.0,6.31,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.42,0.39,0.0,4.92,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.35,0.34,0.0,5.21,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,0.89,0.17,0.0,4.52,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,2,0.71,0.13,0.0,4.51,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,2,1.28,0.27,0.0,5.18,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,2,1.32,0.47,0.0,5.17,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,2,1.22,0.45,0.0,4.85,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,2,1.29,0.64,0.0,5.19,84.62,1,100,20,CNN 16k,non-IID,CIFAR10,1.28,0.5543,0.1473,1.5486,3.9,0.124,0.0421,3.2543
Client 23,3,1.96,0.09,0.0,5.14,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,2.1,0.09,0.0,4.81,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,1.72,0.1,10.81,4.84,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,2.0,0.24,11.61,4.95,,1,100,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,3,1.66,0.11,10.39,4.93,,1,100,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,3,2.21,0.21,0.0,5.0,,1,100,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,3,1.74,0.1,11.02,4.98,,1,100,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,3,1.72,0.18,0.0,4.93,,1,100,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,3,1.85,0.14,10.85,5.2,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,3,1.81,0.12,10.75,4.91,84.0,1,100,19,CNN 16k,non-IID,CIFAR10,1.33,0.5027,0.2341,1.9353,3.99,0.1791,0.0939,3.1541
