Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.77,0.12,0.0,25.91,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,26.96,0.12,0.0,27.82,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,26.57,0.14,0.0,25.46,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,28.12,0.14,0.0,26.67,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,29.51,0.11,0.0,28.15,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,28.22,0.11,0.0,27.13,140.12,1,100,21,CNN 64k,non-IID,CIFAR10,1.21,0.5738,0.407,1.5578,2.7,0.3671,0.3028,2.3093
Client 23,2,10.28,0.05,33.45,8.6,,2,151,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,11.01,0.05,36.32,8.78,,2,151,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,10.45,0.05,36.66,8.35,,2,153,42,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,10.44,0.05,36.88,8.41,,2,152,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,15.21,0.05,44.98,12.46,,1,100,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,15.2,0.05,43.16,10.13,73.09,1,100,40,CNN 64k,non-IID,CIFAR10,1.35,0.4615,0.4396,1.983,2.36,0.4509,0.4104,2.0733
Client 23,3,11.07,0.05,0.0,8.69,,2,184,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,11.12,0.05,0.0,8.52,,2,184,41,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,11.99,0.05,0.0,8.73,,2,184,42,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,10.99,0.05,0.0,8.6,,2,184,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,15.34,0.05,0.0,10.41,,1,100,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,15.58,0.05,0.0,10.39,26.32,1,100,40,CNN 64k,non-IID,CIFAR10,1.24,0.5051,0.5016,1.7534,2.21,0.5011,0.468,1.8817
Client 23,4,11.78,0.05,0.0,9.78,,2,176,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
