Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.3,0.26,0.0,5.13,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.31,0.52,0.0,5.37,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.38,0.29,0.0,5.21,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.33,0.45,0.0,5.17,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.5,0.3,0.0,5.64,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.36,0.28,0.0,5.22,69.59,1,100,21,CNN 64k,non-IID,CIFAR10,1.28,0.5651,0.1018,1.5176,3.81,0.1064,0.0236,3.0354
Client 23,2,2.76,0.43,0.0,7.06,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.94,0.24,0.0,6.8,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.9,0.33,0.0,6.6,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.86,0.42,0.0,6.5,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.86,0.3,0.0,6.54,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.93,0.25,0.0,6.7,77.48,1,100,20,CNN 64k,non-IID,CIFAR10,1.19,0.5905,0.1416,1.574,3.87,0.1382,0.052,3.1137
Client 23,3,3.97,0.22,0.0,7.22,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,4.41,0.16,0.0,7.28,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.37,0.18,0.0,7.91,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,4.42,0.27,0.0,8.33,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,4.92,0.31,0.0,8.53,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,4.41,0.32,0.0,7.89,81.45,1,100,19,CNN 64k,non-IID,CIFAR10,1.26,0.5615,0.2301,1.6706,3.21,0.2156,0.1309,2.9993
Client 23,4,2.95,0.07,0.0,5.37,,2,112,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.1,0.13,0.0,8.08,,2,107,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,3.56,0.08,12.5,5.83,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,3.94,0.12,16.16,6.18,,1,100,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,4.15,0.11,14.76,6.29,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,3.99,0.12,16.07,6.23,88.02,1,100,23,CNN 64k,non-IID,CIFAR10,1.34,0.4983,0.3262,1.7992,2.56,0.2974,0.2317,2.5656
Client 23,5,7.25,0.18,0.0,10.32,,2,108,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.94,0.16,0.0,10.52,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,7.94,0.13,0.0,10.97,,1,100,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,7.81,0.23,0.0,10.65,,1,100,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,7.17,0.18,0.0,10.16,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,7.89,0.22,0.0,10.73,91.13,1,100,25,CNN 64k,non-IID,CIFAR10,1.15,0.5867,0.36,1.4783,2.51,0.3163,0.2424,2.59
Client 23,6,4.79,0.1,16.68,6.06,,2,119,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,4.79,0.09,14.86,6.03,,2,118,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,6.3,0.1,20.52,7.21,,1,100,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,6.02,0.1,22.52,6.95,,1,100,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,9.01,0.12,0.0,11.35,,1,100,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,9.57,0.29,0.0,11.64,99.34,1,100,24,CNN 64k,non-IID,CIFAR10,1.16,0.5631,0.3477,1.597,2.65,0.3143,0.2369,2.4542
Client 23,7,9.39,0.19,0.0,12.35,,2,109,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.69,0.1,0.0,12.95,,2,109,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,7.86,0.08,21.3,7.69,,1,100,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,7,10.49,0.16,0.0,12.68,,1,100,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,7,10.97,0.2,0.0,12.2,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,7,6.83,0.07,17.36,7.53,100.94,1,100,25,CNN 64k,non-IID,CIFAR10,1.07,0.5966,0.4595,1.5292,2.35,0.3775,0.3129,2.2537
