Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.11,0.17,4.57,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,1.25,0.25,5.07,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,1.22,0.16,4.78,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,1.17,0.17,4.51,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,1.24,0.08,4.92,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,1.18,0.14,4.76,72.93,1,100,21,CNN 16k,non-IID,CIFAR-10,1.9,0.269,0.0637,2.6991,2.67,0.1097,0.0306,3.2073
Client 23,2,2.38,0.1,5.86,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,2.19,0.13,5.42,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,2.68,0.14,5.58,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,2.36,0.17,5.79,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,2.39,0.06,5.86,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,2.34,0.08,5.69,82.03,1,100,20,CNN 16k,non-IID,CIFAR-10,1.79,0.367,0.1573,2.3029,2.65,0.1868,0.101,2.8455
Client 23,3,3.53,0.14,7.33,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,3.48,0.12,7.34,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,3.53,0.18,6.68,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,3.49,0.09,6.63,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,3.52,0.12,6.71,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,3.91,0.18,6.6,80.11,1,100,19,CNN 16k,non-IID,CIFAR-10,1.59,0.4002,0.2385,2.0452,2.62,0.2399,0.1654,2.6965
