Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.3,0.38,0.0,4.92,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.19,0.29,0.0,4.75,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.19,0.29,0.0,4.62,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.28,0.45,0.0,5.54,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.51,0.5,0.0,5.21,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.34,0.18,0.0,4.86,68.67,1,100,21,CNN 64k,non-IID,CIFAR10,1.27,0.5805,0.1208,1.7143,3.87,0.1148,0.035,3.375
Client 23,2,2.62,0.2,0.0,6.34,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.54,0.33,0.0,5.73,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.56,0.21,0.0,6.72,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.58,0.28,0.0,6.05,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.61,0.23,0.0,6.19,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.69,0.28,0.0,6.13,72.12,1,100,20,CNN 64k,non-IID,CIFAR10,1.31,0.529,0.1836,1.6404,3.32,0.1862,0.0888,3.001
