Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.3,0.38,0.0,4.92,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.19,0.29,0.0,4.75,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.19,0.29,0.0,4.62,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.28,0.45,0.0,5.54,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.51,0.5,0.0,5.21,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.34,0.18,0.0,4.86,68.67,1,100,21,CNN 64k,non-IID,CIFAR10,1.27,0.5805,0.1208,1.7143,3.87,0.1148,0.035,3.375
Client 23,2,2.62,0.2,0.0,6.34,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.54,0.33,0.0,5.73,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.56,0.21,0.0,6.72,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.58,0.28,0.0,6.05,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.61,0.23,0.0,6.19,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.69,0.28,0.0,6.13,72.12,1,100,20,CNN 64k,non-IID,CIFAR10,1.31,0.529,0.1836,1.6404,3.32,0.1862,0.0888,3.001
Client 23,3,3.67,0.19,0.0,7.23,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.68,0.21,0.0,7.34,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.44,0.24,0.0,8.32,,2,106,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.93,0.16,0.0,8.51,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,3.88,0.2,0.0,7.06,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,3.98,0.37,0.0,7.31,79.72,1,100,20,CNN 64k,non-IID,CIFAR10,1.19,0.5716,0.2688,1.8825,3.0,0.2459,0.1582,2.8455
Client 23,4,5.08,0.16,0.0,8.69,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,4.75,0.18,0.0,8.16,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,5.42,0.11,0.0,7.75,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,5.35,0.3,0.0,8.97,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,5.63,0.24,0.0,8.61,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,5.52,0.24,0.0,8.17,80.59,1,100,20,CNN 64k,non-IID,CIFAR10,1.14,0.6078,0.3164,1.5303,2.63,0.2874,0.2083,2.7214
Client 23,5,6.57,0.35,0.0,9.55,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.92,0.36,0.0,9.02,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,6.4,0.22,0.0,9.04,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,6.54,0.21,0.0,9.04,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,6.52,0.27,0.0,9.33,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,6.85,0.23,0.0,9.41,83.01,1,100,20,CNN 64k,non-IID,CIFAR10,0.94,0.6745,0.3331,1.2128,2.65,0.2892,0.2126,2.7001
