Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.47,0.16,0.0,29.65,,2,114,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,28.02,0.49,0.0,31.45,,2,114,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,30.6,0.18,0.0,32.94,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,32.11,0.37,0.0,34.65,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,35.98,0.14,0.0,34.15,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,30.21,0.13,0.0,34.66,172.93,1,100,21,CNN 64k,non-IID,CIFAR10,1.0,0.6536,0.3393,1.2945,2.88,0.2989,0.229,2.5387
Client 23,2,33.55,0.16,0.0,30.91,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,30.33,0.49,0.0,31.6,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,39.77,0.18,0.0,30.86,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,39.31,0.37,0.0,29.96,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,37.8,0.14,0.0,35.27,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,33.59,0.13,0.0,36.73,111.23,1,100,21,CNN 64k,non-IID,CIFAR10,0.87,0.6941,0.4275,1.159,2.64,0.3569,0.299,2.342
Client 23,3,31.05,0.16,0.0,28.39,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,29.13,0.49,0.0,29.5,,2,125,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,36.49,0.18,0.0,29.12,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,32.28,0.37,0.0,31.28,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,33.06,0.14,0.0,33.78,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,34.11,0.13,0.0,32.56,110.52,1,100,21,CNN 64k,non-IID,CIFAR10,0.77,0.7326,0.5213,1.0161,2.51,0.409,0.3656,2.1576
Client 23,4,29.05,0.16,0.0,28.77,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,28.73,0.49,0.0,28.12,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,33.13,0.18,0.0,33.66,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,35.29,0.37,0.0,32.55,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,33.1,0.14,0.0,30.97,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,32.47,0.13,0.0,32.36,111.46,1,100,21,CNN 64k,non-IID,CIFAR10,0.69,0.7563,0.5823,0.8877,2.43,0.4355,0.3968,2.0404
Client 23,5,30.13,0.16,0.0,30.91,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,30.15,0.49,0.0,28.46,,2,125,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,37.03,0.18,0.0,31.03,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,31.61,0.37,0.0,33.01,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,34.49,0.14,0.0,34.65,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,33.64,0.13,0.0,30.88,112.73,1,100,21,CNN 64k,non-IID,CIFAR10,0.62,0.7833,0.6332,0.7912,2.43,0.4609,0.43,1.9049
Client 23,6,28.59,0.16,0.0,30.91,,2,125,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,27.4,0.49,0.0,34.39,,2,124,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,31.8,0.18,0.0,37.1,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,33.56,0.37,0.0,34.97,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,30.62,0.14,0.0,35.72,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,34.41,0.13,0.0,34.29,107.71,1,100,21,CNN 64k,non-IID,CIFAR10,0.56,0.8025,0.6763,0.7122,2.37,0.4756,0.4442,1.8938
