Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.14,0.36,0.0,4.52,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.07,0.22,0.0,4.75,65.5,2,103,21,CNN 16k,non-IID,CIFAR10,1.62,0.3202,0.0707,2.5518,4.33,0.1013,0.026,3.1048
Client 23,2,1.23,0.09,0.0,4.04,,2,110,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.18,0.09,0.0,4.1,68.65,2,110,19,CNN 16k,non-IID,CIFAR10,1.59,0.3984,0.1829,2.2485,3.34,0.1629,0.0744,3.0715
Client 23,3,3.74,0.17,0.0,8.21,,2,105,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.54,0.17,0.0,6.21,83.19,2,105,23,CNN 16k,non-IID,CIFAR10,1.53,0.4527,0.1816,1.8655,2.94,0.1953,0.1082,3.1533
Client 23,4,2.25,0.08,0.0,4.73,,2,112,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,2.02,0.07,0.0,4.46,78.17,2,111,21,CNN 16k,non-IID,CIFAR10,1.51,0.411,0.2858,2.0098,2.75,0.2423,0.1667,2.825
Client 23,5,5.94,0.21,0.0,8.49,,2,106,25,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.38,0.14,0.0,10.96,83.65,2,106,25,CNN 16k,non-IID,CIFAR10,1.36,0.5126,0.2963,1.7652,2.56,0.2878,0.1991,2.662
Client 23,6,4.3,0.09,17.39,4.97,,2,118,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,2.97,0.09,13.13,4.9,91.82,2,114,25,CNN 16k,non-IID,CIFAR10,1.36,0.4749,0.2943,1.524,3.32,0.2398,0.1583,2.8485
Client 23,7,8.58,0.14,0.0,10.92,,2,108,31,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,7.7,0.13,0.0,10.63,89.45,2,108,28,CNN 16k,non-IID,CIFAR10,1.24,0.571,0.3784,1.6931,2.36,0.3468,0.274,2.5154
Client 23,8,4.05,0.08,13.67,5.5,,2,115,27,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,8,4.25,0.08,15.17,5.35,87.68,2,116,27,CNN 16k,non-IID,CIFAR10,1.27,0.516,0.3799,1.7201,2.74,0.307,0.2252,2.5521
Client 23,9,10.64,0.23,0.0,15.57,,2,109,30,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,9,10.39,0.26,0.0,13.54,97.31,2,109,30,CNN 16k,non-IID,CIFAR10,1.07,0.6152,0.3338,1.3942,2.46,0.2944,0.2243,2.5048
Client 23,10,4.3,0.07,21.12,5.82,,2,119,32,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,10,5.15,0.06,14.73,5.6,90.75,2,116,29,CNN 16k,non-IID,CIFAR10,1.35,0.4939,0.4253,1.7593,2.34,0.3907,0.3333,2.3686
Client 23,11,5.86,0.06,18.49,7.36,,2,120,32,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,11,4.88,0.06,21.29,5.44,92.0,2,118,33,CNN 16k,non-IID,CIFAR10,1.25,0.5039,0.4208,1.5964,2.31,0.3694,0.3115,2.3749
Client 23,12,13.64,0.16,0.0,16.58,,2,110,32,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,12,15.86,0.09,0.0,16.48,111.97,2,110,34,CNN 16k,non-IID,CIFAR10,1.15,0.5955,0.4849,1.4266,1.98,0.4214,0.3737,2.1534
Client 23,13,15.44,0.09,0.0,17.1,,2,110,34,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,13,15.74,0.13,0.0,16.6,,2,110,34,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,13,1.16,0.34,0.0,4.84,,1,100,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,13,1.1,0.26,0.0,4.52,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,13,0.69,0.15,0.0,4.05,,1,100,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,13,1.14,0.37,0.0,4.58,115.92,1,100,23,CNN 16k,non-IID,CIFAR10,1.11,0.5958,0.4972,1.6344,2.13,0.4167,0.373,2.2033
Client 23,14,6.3,0.06,27.15,7.07,,2,121,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,14,15.92,0.08,0.0,18.31,116.75,2,110,34,CNN 16k,non-IID,CIFAR10,1.22,0.5267,0.4694,1.6062,1.97,0.4428,0.4028,2.0361
Client 23,15,6.1,0.05,34.93,6.02,,2,125,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,15,6.22,0.06,28.6,6.23,,2,121,39,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,15,1.46,0.1,0.0,4.46,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,15,1.48,0.18,10.02,4.26,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,15,1.49,0.12,0.0,4.33,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,15,2.68,0.29,0.0,6.04,104.66,1,100,25,CNN 16k,non-IID,CIFAR10,1.27,0.478,0.3872,1.9753,2.49,0.3657,0.3062,2.3401
Client 23,16,6.8,0.05,22.11,6.27,,2,120,40,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,16,6.79,0.05,29.5,6.43,101.9,2,122,40,CNN 16k,non-IID,CIFAR10,1.27,0.4892,0.456,2.1206,2.1,0.4487,0.4199,2.0029
Client 23,17,6.72,0.05,22.01,7.22,,2,119,39,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,17,6.82,0.05,28.76,6.61,98.09,2,122,40,CNN 16k,non-IID,CIFAR10,1.22,0.5176,0.4876,1.3922,1.94,0.4475,0.4139,2.1502
