Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,26.3,0.0,0.0,27.54,,2,112,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,24.57,0.0,0.0,45.91,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,27.19,0.0,0.0,74.08,,1,72,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,26.75,0.0,0.0,66.85,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,27.69,0.0,0.0,52.53,,1,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,25.7,0.0,0.0,28.07,,1,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,26.33,0.0,0.0,63.28,,1,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,25.31,0.0,0.0,74.58,,1,71,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,26.86,0.0,0.0,41.32,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,25.7,0.0,0.0,33.53,166.4,1,95,21,CNN 16k,non-IID,CIFAR-10,1.35,0.5122,0.308,1.7796,2.84,0.2872,0.2133,2.5935
